Timestamp,Age Group,Area,No .of stationery shops near by,How do you rate the stationery shops nearby?,Which brands do you prefer?,Which services do you prefer?,Which of these items are not available in your locality?,
3/6/2018 23:05:20,20-60,Western Suburbs,1,3,"Classmate, Navneet, Others","Color xerox, Home delivery, Online services",Party decorations,
3/6/2018 23:05:45,20-60,Navi Mumbai,3,3,"Sundaram, Classmate, Others","Home delivery, Lamination and Binding",Party decorations,
3/6/2018 23:06:18,20-60,Kalyan,3,1,"Sundaram, Others","Home delivery, Online services","Greeting cards, Files and Folders",
3/6/2018 23:06:53,20-60,Thane,2,3,"Sundaram, Classmate, Camlin","Color xerox, Print, Home delivery","Greeting cards, Gift wrapping",
3/6/2018 23:07:24,60+,Chembur,3,4,"Sundaram, Classmate, Camlin","Color xerox, Print, Home delivery",Gift wrapping,
3/6/2018 23:07:47,20-60,Thane,5,3,"Sundaram, Classmate, Camlin","Color xerox, Home delivery, Lamination and Binding","Party decorations, Files and Folders",
3/6/2018 23:08:20,16-20,Western Suburbs,1,4,"Sundaram, Navneet, Others","Color xerox, Home delivery, Lamination and Binding","Party decorations, Gift wrapping",
3/6/2018 23:08:39,5-15,Chembur,2,3,Sundaram,Color xerox,Party decorations,
3/6/2018 23:08:59,16-20,Chembur,2,3,"Sundaram, Camlin","Color xerox, Home delivery",Gift wrapping,
3/6/2018 23:09:27,20-60,Thane,3,4,"Sundaram, Classmate","Print, Home delivery","Party decorations, College ceremony items",
3/6/2018 23:09:50,20-60,Thane,4,4,"Sundaram, Camlin","Color xerox, Lamination and Binding","Greeting cards, Gift wrapping",
3/17/2018 21:16:17,20-60,Kalyan,3,3,"Sundaram, Classmate, Navneet","Print, Home delivery, Online services","Greeting cards, Gift wrapping",
3/17/2018 21:16:54,5-15,Chembur,2,4,"Classmate, Navneet, Camlin","Color xerox, Home delivery","College ceremony items, Greeting cards",
